iter	Passed	Remaining
943	57789	41383
944	57860	41328
945	57923	41268
946	57987	41209
947	58042	41143
948	58098	41079
949	58156	41015
950	58209	40948
951	58266	40884
952	58327	40822
953	58388	40761
954	58446	40698
955	58505	40635
956	58560	40570
957	58614	40503
958	58670	40439
959	58735	40380
960	58788	40313
961	58855	40256
962	58910	40190
963	58965	40125
964	59029	40066
965	59090	40005
966	59151	39944
967	59210	39881
968	59275	39822
969	59339	39763
970	59395	39698
971	59450	39633
972	59515	39575
973	59584	39519
974	59642	39456
975	59705	39395
976	59767	39335
977	59821	39269
978	59877	39204
979	59947	39149
980	60017	39093
981	60075	39030
982	60129	38964
983	60207	38914
984	60268	38853
985	60320	38786
986	60388	38729
987	60445	38665
988	60504	38603
989	60561	38539
990	60623	38478
991	60692	38422
992	60750	38359
993	60807	38295
994	60866	38232
995	60931	38173
996	60994	38113
997	61053	38051
998	61109	37986
999	61170	37925
1000	61229	37863
1001	61296	37805
1002	61361	37746
1003	61417	37682
1004	61481	37623
1005	61539	37559
1006	61594	37494
1007	61658	37435
1008	61737	37384
1009	61801	37325
1010	61860	37263
1011	61919	37200
1012	61983	37141
1013	62050	37083
1014	62111	37022
1015	62168	36958
1016	62225	36895
1017	62291	36836
1018	62350	36773
1019	62416	36715
1020	62475	36653
1021	62535	36590
1022	62603	36533
1023	62661	36470
1024	62723	36409
1025	62778	36345
1026	62840	36284
1027	62895	36220
1028	62957	36159
1029	63014	36095
1030	63070	36031
1031	63126	35967
1032	63185	35905
1033	63242	35841
1034	63298	35777
1035	63357	35714
1036	63417	35653
1037	63475	35590
1038	63533	35527
1039	63592	35464
1040	63659	35407
1041	63719	35345
1042	63773	35280
1043	63832	35218
1044	63892	35156
1045	63946	35090
1046	64012	35032
1047	64073	34971
1048	64138	34912
1049	64195	34849
1050	64253	34786
1051	64315	34725
1052	64375	34663
1053	64442	34605
1054	64512	34549
1055	64570	34486
1056	64623	34420
1057	64680	34357
1058	64740	34296
1059	64799	34233
1060	64855	34170
1061	64918	34109
1062	64986	34051
1063	65046	33990
1064	65105	33927
1065	65161	33864
1066	65220	33801
1067	65288	33744
1068	65345	33681
1069	65405	33619
1070	65461	33555
1071	65525	33496
1072	65588	33435
1073	65655	33377
1074	65715	33316
1075	65774	33254
1076	65832	33191
1077	65896	33131
1078	65947	33065
1079	66004	33002
1080	66070	32943
1081	66124	32879
1082	66180	32815
1083	66245	32756
1084	66301	32692
1085	66354	32627
1086	66418	32567
1087	66483	32508
1088	66540	32445
1089	66596	32381
1090	66657	32320
1091	66717	32259
1092	66788	32202
1093	66844	32139
1094	66916	32083
1095	66984	32025
1096	67039	31961
1097	67102	31901
1098	67160	31838
1099	67224	31779
1100	67283	31716
1101	67339	31653
1102	67410	31596
1103	67467	31533
1104	67538	31477
1105	67603	31418
1106	67670	31359
1107	67727	31296
1108	67780	31231
1109	67843	31171
1110	67910	31112
1111	67966	31049
1112	68030	30989
1113	68095	30930
1114	68159	30870
1115	68221	30809
1116	68274	30744
1117	68329	30681
1118	68392	30620
1119	68452	30559
1120	68518	30500
1121	68578	30438
1122	68645	30380
1123	68707	30319
1124	68771	30259
1125	68842	30202
1126	68901	30140
1127	68960	30078
1128	69032	30021
1129	69094	29961
1130	69158	29901
1131	69216	29839
1132	69274	29776
1133	69329	29712
1134	69394	29653
1135	69454	29591
1136	69513	29529
1137	69577	29469
1138	69662	29418
1139	69718	29355
1140	69780	29294
1141	69849	29236
1142	69911	29175
1143	69976	29116
1144	70039	29055
1145	70095	28992
1146	70165	28934
1147	70226	28873
1148	70288	28812
1149	70355	28754
1150	70407	28689
1151	70465	28626
1152	70523	28564
1153	70587	28504
1154	70650	28443
1155	70711	28382
1156	70768	28319
1157	70834	28260
1158	70891	28197
1159	70948	28134
1160	71006	28072
1161	71063	28009
1162	71135	27952
1163	71192	27890
1164	71247	27826
1165	71305	27763
1166	71361	27700
1167	71418	27637
1168	71475	27575
1169	71539	27515
1170	71605	27455
1171	71657	27391
1172	71723	27332
1173	71785	27271
1174	71846	27209
1175	71911	27150
1176	71973	27089
1177	72031	27027
1178	72090	26965
1179	72148	26902
1180	72203	26839
1181	72259	26776
1182	72319	26714
1183	72376	26652
1184	72446	26594
1185	72509	26533
1186	72575	26474
1187	72639	26414
1188	72695	26351
1189	72748	26287
1190	72808	26225
1191	72865	26163
1192	72931	26103
1193	72996	26044
1194	73053	25981
1195	73123	25923
1196	73186	25862
1197	73249	25802
1198	73311	25741
1199	73369	25679
1200	73444	25622
1201	73510	25563
1202	73572	25502
1203	73632	25441
1204	73687	25377
1205	73755	25319
1206	73814	25257
1207	73873	25195
1208	73939	25135
1209	74002	25075
1210	74062	25013
1211	74119	24951
1212	74177	24888
1213	74240	24828
1214	74303	24767
1215	74359	24704
1216	74416	24642
1217	74469	24578
1218	74534	24518
1219	74595	24457
1220	74671	24401
1221	74732	24340
1222	74796	24279
1223	74852	24217
1224	74911	24155
1225	74971	24093
1226	75034	24033
1227	75110	23976
1228	75165	23913
1229	75226	23852
1230	75286	23790
1231	75351	23730
1232	75407	23668
1233	75473	23608
1234	75533	23547
1235	75595	23485
1236	75660	23426
1237	75740	23370
1238	75812	23312
1239	75871	23250
1240	75928	23188
1241	75981	23124
1242	76038	23062
1243	76108	23003
1244	76170	22943
1245	76228	22880
1246	76287	22819
1247	76343	22756
1248	76416	22698
1249	76478	22637
1250	76545	22578
1251	76612	22518
1252	76676	22458
1253	76734	22396
1254	76798	22335
1255	76864	22275
1256	76918	22212
1257	76982	22152
1258	77043	22091
1259	77098	22028
1260	77159	21966
1261	77213	21903
1262	77273	21842
1263	77332	21780
1264	77391	21718
1265	77459	21659
1266	77516	21596
1267	77578	21536
1268	77651	21478
1269	77714	21417
1270	77772	21355
1271	77843	21296
1272	77901	21234
1273	77957	21172
1274	78010	21108
1275	78070	21047
1276	78138	20987
1277	78197	20926
1278	78270	20867
1279	78347	20810
1280	78401	20748
1281	78471	20689
1282	78529	20626
1283	78587	20564
1284	78656	20505
1285	78714	20443
1286	78784	20384
1287	78842	20322
1288	78905	20262
1289	78965	20200
1290	79022	20138
1291	79091	20078
1292	79146	20016
1293	79204	19954
1294	79268	19893
1295	79328	19832
1296	79401	19773
1297	79458	19711
1298	79522	19651
1299	79589	19591
1300	79660	19532
1301	79722	19471
1302	79788	19411
1303	79850	19350
1304	79905	19287
1305	79966	19226
1306	80027	19164
1307	80095	19105
1308	80155	19043
1309	80215	18982
1310	80276	18920
1311	80342	18860
1312	80405	18800
1313	80470	18739
1314	80530	18678
1315	80590	18616
1316	80657	18556
1317	80723	18496
1318	80781	18434
1319	80834	18371
1320	80898	18310
1321	80958	18249
1322	81022	18188
1323	81084	18127
1324	81140	18065
1325	81203	18004
1326	81265	17943
1327	81321	17880
1328	81377	17818
1329	81444	17758
1330	81504	17696
1331	81576	17638
1332	81634	17576
1333	81692	17514
1334	81754	17453
1335	81814	17391
1336	81868	17328
1337	81925	17266
1338	81982	17204
1339	82048	17144
1340	82105	17082
1341	82161	17020
1342	82215	16957
1343	82273	16895
1344	82336	16834
1345	82413	16776
1346	82476	16715
1347	82539	16654
1348	82596	16592
1349	82658	16531
1350	82714	16469
1351	82770	16407
1352	82828	16345
1353	82896	16285
1354	82966	16225
1355	83038	16166
1356	83096	16104
1357	83153	16042
1358	83207	15980
1359	83283	15921
1360	83350	15861
1361	83413	15800
1362	83479	15740
1363	83538	15678
1364	83595	15616
1365	83652	15554
1366	83718	15494
1367	83781	15433
1368	83848	15373
1369	83907	15311
1370	83965	15249
1371	84023	15187
1372	84083	15126
1373	84152	15066
1374	84211	15004
1375	84274	14944
1376	84331	14882
1377	84398	14821
1378	84463	14761
1379	84536	14701
1380	84608	14642
1381	84673	14581
1382	84738	14521
1383	84798	14459
1384	84859	14398
1385	84917	14336
1386	84977	14275
1387	85040	14214
1388	85116	14155
1389	85174	14093
1390	85239	14032
1391	85297	13971
1392	85355	13909
1393	85415	13847
1394	85472	13785
1395	85526	13723
1396	85587	13662
1397	85654	13601
1398	85709	13539
1399	85766	13477
1400	85831	13416
1401	85892	13355
1402	85963	13295
1403	86025	13234
1404	86099	13175
1405	86166	13114
1406	86223	13053
1407	86286	12992
1408	86348	12930
1409	86409	12869
1410	86469	12807
1411	86525	12746
1412	86589	12685
1413	86652	12624
1414	86729	12564
1415	86793	12504
1416	86850	12442
1417	86909	12380
1418	86973	12319
1419	87032	12258
1420	87091	12196
1421	87148	12134
1422	87218	12074
1423	87275	12012
1424	87333	11950
1425	87386	11888
1426	87451	11827
1427	87507	11765
1428	87569	11704
1429	87631	11643
1430	87698	11582
1431	87767	11522
1432	87830	11461
1433	87899	11401
1434	87957	11339
1435	88021	11278
1436	88078	11216
1437	88134	11154
1438	88191	11092
1439	88249	11031
1440	88312	10970
1441	88365	10907
1442	88430	10846
1443	88489	10785
1444	88546	10723
1445	88608	10662
1446	88670	10601
1447	88731	10539
1448	88786	10477
1449	88842	10416
1450	88909	10355
1451	88970	10294
1452	89040	10233
1453	89095	10171
1454	89148	10109
1455	89216	10049
1456	89291	9989
1457	89349	9927
1458	89414	9866
1459	89471	9805
1460	89530	9743
1461	89598	9683
1462	89654	9621
1463	89713	9559
1464	89767	9497
1465	89830	9436
1466	89891	9375
1467	89955	9314
1468	90020	9253
1469	90078	9191
1470	90135	9129
1471	90192	9068
1472	90251	9006
1473	90311	8945
1474	90372	8884
1475	90428	8822
1476	90487	8760
1477	90557	8700
1478	90616	8638
1479	90673	8577
1480	90731	8515
1481	90802	8455
1482	90868	8394
1483	90933	8333
1484	90990	8271
1485	91053	8210
1486	91112	8149
1487	91170	8087
1488	91230	8026
1489	91292	7965
1490	91349	7903
1491	91415	7842
1492	91483	7781
1493	91547	7720
1494	91602	7659
1495	91667	7598
1496	91725	7536
1497	91786	7475
1498	91852	7414
1499	91917	7353
1500	91975	7291
1501	92047	7231
1502	92110	7170
1503	92177	7109
1504	92234	7047
1505	92304	6987
1506	92362	6925
1507	92419	6864
1508	92484	6803
1509	92538	6741
1510	92605	6680
1511	92663	6618
1512	92719	6557
1513	92772	6495
1514	92837	6434
1515	92903	6373
1516	92959	6311
1517	93016	6250
1518	93077	6188
1519	93142	6127
1520	93208	6066
1521	93266	6005
1522	93323	5943
1523	93390	5882
1524	93454	5821
1525	93510	5760
1526	93570	5698
1527	93632	5637
1528	93693	5576
1529	93754	5514
1530	93811	5453
1531	93869	5391
1532	93941	5331
1533	94008	5270
1534	94067	5208
1535	94131	5147
1536	94193	5086
1537	94257	5025
1538	94320	4964
1539	94388	4903
1540	94449	4841
1541	94508	4780
1542	94562	4718
1543	94618	4657
1544	94686	4596
1545	94751	4535
1546	94808	4473
1547	94876	4412
1548	94933	4351
1549	94991	4289
1550	95051	4228
1551	95111	4167
1552	95177	4106
1553	95244	4045
1554	95297	3983
1555	95356	3922
1556	95416	3860
1557	95471	3799
1558	95527	3737
1559	95605	3677
1560	95661	3615
1561	95722	3554
1562	95778	3492
1563	95840	3431
1564	95898	3370
1565	95967	3309
1566	96033	3248
1567	96101	3187
1568	96161	3125
1569	96230	3064
1570	96297	3003
1571	96362	2942
1572	96418	2880
1573	96478	2819
1574	96543	2758
1575	96603	2697
1576	96674	2636
1577	96729	2574
1578	96787	2513
1579	96857	2452
1580	96914	2390
1581	96982	2329
1582	97040	2268
1583	97114	2207
1584	97187	2146
1585	97241	2084
1586	97305	2023
1587	97362	1961
1588	97421	1900
1589	97478	1839
1590	97532	1777
1591	97589	1716
1592	97644	1654
1593	97720	1593
1594	97784	1532
1595	97843	1471
1596	97914	1410
1597	97968	1348
1598	98039	1287
1599	98092	1226
1600	98150	1164
1601	98210	1103
1602	98266	1042
1603	98333	980
1604	98396	919
1605	98460	858
1606	98522	797
1607	98596	735
1608	98658	674
1609	98715	613
1610	98772	551
1611	98831	490
1612	98898	429
1613	98952	367
1614	99010	306
1615	99073	245
1616	99131	183
1617	99187	122
1618	99249	61
1619	99302	0
